,Unnamed: 0,Time Desc,jan1,jan2,jan3,jan4,jan5,jan6,jan7,jan8,jan9,jan10,jan11,jan12,jan13,jan14,jan15,jan16,jan17,jan18,jan19,jan20,jan21,jan22,jan23,jan24,jan25,jan26,jan27,jan28,jan29,jan30,jan31
21,21,05:15-05:30,2370.987412,2423.944422,1328.201925,1816.141379,2261.7160519999998,982.1960019999999,1285.1786710000001,1506.1550439999999,1356.279202,2095.1155350000004,2127.982497,1680.788641,2048.313575,738.62379,2152.374862,2372.2853760000003,2284.1852489999997,1129.451256,2245.21126,2096.925361,766.154044,1442.777103,2119.969989,887.6752119999999,956.5012429999999,1386.7953630000002,1264.947589,1507.366161,2008.637089,1471.63184,1798.445509
22,22,05:30-05:45,2807.733803,2633.457132,1582.404086,2063.577143,2615.216681,1086.726578,1998.4247739999998,1944.5869989999999,1480.555512,2497.956265,2352.54876,2129.940846,2345.738418,1650.543349,2574.389577,2575.980427,2686.5890679999998,1746.325995,2604.332431,2326.526186,1643.981259,1527.672731,2317.213995,1357.9304240000001,1405.238441,1699.797475,1491.2407230000001,2144.47599,2363.967965,2026.312657,2196.938147
23,23,05:45-06:00,3089.2240829999996,3046.5778739999996,1840.228685,2318.070862,2848.833952,1247.3977810000001,2045.764064,2406.746581,1433.256366,2398.645959,2284.252827,2621.635467,2132.492166,2469.396632,2754.3440739999996,2957.31619,2874.391709,2444.2642,2342.676041,2885.732562,2116.951889,1604.100838,2924.874476,2106.479872,1952.418823,2152.6978679999997,1766.719197,2429.631159,2605.669711,2547.7083039999998,2547.9503050000003
24,24,06:00-06:15,3464.7652869999997,3108.6218879999997,2728.655365,2083.509275,3271.235571,1434.31002,2206.594063,2336.875773,2117.1939899999998,1966.328768,2126.5571019999998,2689.942741,2765.6297649999997,2840.380435,2595.270352,3122.712127,3344.8169550000002,2850.284081,2463.2378320000003,3746.447072,2698.828567,1860.3219760000002,3122.825589,2410.9485059999997,2487.6144600000002,2656.035207,2348.558909,2858.615749,2692.610841,2735.792868,3103.810438
25,25,06:15-06:30,3830.83315,3285.209538,2753.670618,2583.562125,2904.317259,2292.0319600000003,2643.816295,1995.1588,2530.4422010000003,2329.324231,2230.793045,2717.236454,3079.6894260000004,2449.653569,3189.0210690000004,3188.402105,3142.567895,3130.167438,2616.6654489999996,3837.606297,2266.9890149999997,1685.2353420000002,2664.744939,2905.8654239999996,2865.189863,2976.199505,2979.1810609999998,3133.268561,2853.264457,2932.641643,3466.4945810000004
26,26,06:30-06:45,4215.124486,3403.38961,2522.863002,2755.375066,2787.112477,2652.763541,3012.433286,2254.435575,2735.860751,2526.957524,2497.1070440000003,2967.164084,2459.99899,2176.417359,3332.3124329999996,3469.6118109999998,3145.5344379999997,3437.100332,2652.247314,3915.701979,2753.05811,1841.1782620000001,3038.619338,2280.2723100000003,2564.758921,3853.155356,3580.253427,3112.335948,2826.654598,3061.0483649999996,3580.8532259999997
27,27,06:45-07:00,4204.327324,3337.737733,2832.897487,3068.939968,3153.192948,2189.481907,3248.092036,2461.821758,2647.176297,2656.722566,2459.924561,2699.7382829999997,2768.220922,2134.312794,3336.650318,3416.677821,3158.474056,3347.090482,2975.439899,3846.754374,2823.425348,1742.27108,2881.880325,2574.7885109999997,2817.655965,3930.5058200000003,3614.80955,3277.636285,3072.5663449999997,2993.7790809999997,3579.8973149999997
28,28,07:00-07:15,4503.308454999999,4098.923184,3110.695769,3236.740868,3290.48439,2257.415332,3490.6194200000004,2777.963044,3027.620655,2848.784822,3047.29452,3289.518725,2947.656079,2250.8426280000003,3597.359453,3493.7078490000004,3551.589216,3730.2790840000002,3255.5883350000004,3697.583566,3819.45459,2349.198866,3694.9382140000002,2789.720589,2591.807399,3688.8507619999996,3531.2863509999997,3140.786272,3288.198495,3481.787427,3420.0342590000005
29,29,07:15-07:30,4508.358215,4067.799206,3106.6992,3004.137525,3546.149857,2389.726168,3476.225331,3177.4483920000002,3265.882876,2917.702747,3137.125956,3537.0513090000004,3157.10948,2596.625985,3586.076957,3604.207078,3691.751804,3775.277197,3589.596979,3855.838554,3839.130436,2971.612921,3632.125525,2972.97397,3006.5890719999998,3788.632654,3556.452147,3369.45321,3794.3449270000006,3655.850938,3742.388199
30,30,07:30-07:45,4044.889549,3855.790807,3199.359076,2922.24476,3661.688343,2446.995841,3325.4821660000002,3247.929634,3561.448296,3042.008721,3369.791196,3436.2438380000003,3224.37763,2736.849894,3428.029654,3737.19634,3705.213217,3657.560664,3648.131224,3855.7885810000002,3733.664021,3253.3885649999997,3514.235776,3601.923647,3374.865797,3520.8462340000005,3508.4275869999997,3424.883887,3651.86269,3617.60065,3792.7877299999996
